atypical	typical
broad-minded	narrow-minded
born	unborn
scrupulous	unscrupulous
inspiring	uninspiring
made	unmade
jawed	jawless
pointed	pointless
negative	positive
absorbent	nonabsorbent
direct	inverse
dominant	subordinate
bicameral	unicameral
achlamydeous	chlamydeous
apteral	peripteral
meaningful	meaningless
smokeless	smoky
paintable	unpaintable
multivalent	univalent
admissible	inadmissible
friendly	hostile
concealing	revealing
ametropic	emmetropic
groomed	ungroomed
pedunculate	sessile
regulated	unregulated
lipless	lipped
loaded	unloaded
contented	discontented
endoergic	exoergic
reactive	unreactive
nontoxic	toxic
functional	organic
intrusive	unintrusive
compatible	incompatible
able	unable
humble	proud
hydrokinetic	hydrostatic
interesting	uninteresting
prospective	retrospective
extinguishable	inextinguishable
immobile	mobile
fueled	unfueled
compressible	incompressible
dissuasive	persuasive
statesmanlike	unstatesmanlike
translatable	untranslatable
invariable	variable
plowed	unplowed
double	single
deciphered	undeciphered
ionic	nonionic
decent	indecent
magnetic	nonmagnetic
benign	malignant
columned	noncolumned
clear	cloudy
colorful	colorless
heavy-footed	light-footed
restricted	unrestricted
patronized	unpatronized
intangible	tangible
covert	overt
playful	unplayful
native	nonnative
coordinating	subordinating
medical	surgical
realistic	unrealistic
diachronic	synchronic
fingered	fingerless
felicitous	infelicitous
nonpsychoactive	psychoactive
allochthonous	autochthonous
downstairs	upstairs
attached	unattached
evil	good
multiparous	uniparous
awed	unawed
aerobic	anaerobic
dissimilar	similar
headed	unheaded
acarpelous	carpellate
aquatic	terrestrial
determined	undetermined
apocarpous	syncarpous
leaded	unleaded
active	quiet
reserved	unreserved
immature	mature
half	whole
addressed	unaddressed
irreverent	reverent
constricted	unconstricted
even	odd
antrorse	retrorse
deniable	undeniable
acid-loving	alkaline-loving
exportable	unexportable
commensurate	incommensurate
shelled	unshelled
autumnal	summery
artificial	natural
exaugural	inaugural
limbed	limbless
unguiculate	ungulate
eyed	eyeless
poor	rich
plural	singular
smart	stupid
heterodactyl	zygodactyl
unwaxed	waxed
insensitive	sensitive
branchless	branchy
defensive	offensive
nonwoody	woody
declarative	interrogative
descriptive	undescriptive
impalpable	palpable
analogous	homologous
high-sudsing	low-sudsing
congruent	incongruent
subsonic	supersonic
domineering	submissive
conductive	nonconductive
antimagnetic	magnetic
sessile	vagile
coated	uncoated
formal	informal
atomistic	holistic
end-stopped	run-on
nonoperational	operational
calm	stormy
far	near
spaced	unspaced
disabling	enabling
pronounceable	unpronounceable
nonproprietary	proprietary
unwelcome	welcome
go	no-go
dependable	undependable
linear	nonlinear
autumnal	wintry
tied	untied
antemortem	postmortem
anestrous	estrous
nonterritorial	territorial
high-interest	low-interest
amphibious	terrestrial
convinced	unconvinced
familiar	unfamiliar
fledged	unfledged
neutral	positive
nonsectarian	sectarian
collected	uncollected
belted	unbelted
actinomorphic	zygomorphic
germfree	germy
baptized	unbaptized
brave	cowardly
clockwise	counterclockwise
fit	unfit
north	south
consolable	inconsolable
alternate	opposite
imponderable	ponderable
anemophilous	entomophilous
achromatic	chromatic
nonpolitical	political
exterior	interior
permissive	preventive
structured	unstructured
decreased	increased
affected	unaffected
wired	wireless
moving	still
punished	unpunished
combined	uncombined
carnivorous	herbivorous
consistent	inconsistent
patterned	plain
generous	ungenerous
acidic	alkaline
necessary	unnecessary
matriarchal	patriarchal
invalid	valid
nonphotosynthetic	photosynthetic
stratified	unstratified
domestic	undomestic
institutionalized	noninstitutionalized
aqueous	igneous
old	young
endogenic	exogenic
liveried	unliveried
avirulent	virulent
detected	undetected
gathered	ungathered
intemperate	temperate
rested	tired
inboard	outboard
extramural	intramural
nonpartisan	partisan
authorized	unauthorized
thick	thin
formed	unformed
insatiate	satiate
irrelevant	relevant
trustworthy	untrustworthy
deductive	inductive
attributable	unattributable
exempt	nonexempt
coherent	incoherent
bipedal	quadrupedal
anadromous	diadromous
nonruminant	ruminant
hypotensive	normotensive
agitated	unagitated
functional	nonfunctional
proximate	ultimate
sure	unsure
considerate	inconsiderate
seasonal	year-round
double-barreled	single-barreled
curtained	curtainless
antagonistic	conciliatory
maxi	midi
avenged	unavenged
hydric	xeric
dedicated	undedicated
cerebral	emotional
dry	sweet
alternating	direct
monophonic	polyphonic
cursorial	fossorial
dejected	elated
unwebbed	webbed
social	unsocial
heavy	light
allopathic	homeopathic
earned	unearned
dull	sharp
declaratory	interrogatory
immanent	transeunt
provocative	unprovocative
first	second
asynchronous	synchronous
useful	useless
eukaryotic	prokaryotic
close	distant
biped	quadruped
efficient	inefficient
afebrile	febrile
accentual	quantitative
progressive	regressive
lined	unlined
cooked	raw
compliant	defiant
sour	sweet
forceful	forceless
convertible	inconvertible
informed	uninformed
paradigmatic	syntagmatic
empirical	theoretical
spoken	written
enterprising	unenterprising
fair	unfair
likely	unlikely
responsive	unresponsive
cross-eyed	walleyed
drinkable	undrinkable
lentic	lotic
foreign	native
infectious	noninfectious
grammatical	ungrammatical
fortunate	unfortunate
adjective	substantive
noisy	quiet
leeward	windward
overhand	underhand
nonpasserine	passerine
capable	incapable
causative	noncausative
dark	light
imprecise	precise
impermissible	permissible
bibbed	bibless
lowercase	uppercase
dicotyledonous	monocotyledonous
metamorphic	nonmetamorphic
religious	secular
due	undue
developed	undeveloped
supportive	unsupportive
necked	neckless
deductible	nondeductible
cultivated	uncultivated
classified	unclassified
impossible	possible
nonrepetitive	repetitive
negative	neutral
difficult	easy
constant	inconstant
hierarchical	nonhierarchical
human	nonhuman
articulated	unarticulated
excitable	unexcitable
disliked	liked
immunocompetent	immunodeficient
future	past
conscious	unconscious
large	small
profound	superficial
accustomed	unaccustomed
holy	unholy
flattering	unflattering
inquiring	uninquiring
air-to-air	surface-to-air
enthusiastic	unenthusiastic
irreligious	religious
stuck	unstuck
offending	unoffending
left-handed	right-handed
determinable	indeterminable
furnished	unfurnished
sealed	unsealed
clearheaded	confused
funded	unfunded
corrupt	incorrupt
dysgenic	eugenic
blue-collar	white-collar
shared	unshared
adventurous	unadventurous
thermoplastic	thermosetting
sinkable	unsinkable
nosed	noseless
malnourished	nourished
carpeted	uncarpeted
nonsuppurative	suppurative
heterologous	homologous
eradicable	ineradicable
functioning	malfunctioning
passionate	passionless
commodious	incommodious
deciduous	evergreen
postprandial	preprandial
elegant	inelegant
lawful	unlawful
eucaryotic	procaryotic
disingenuous	ingenuous
leavened	unleavened
cardinal	ordinal
balconied	unbalconied
analyzed	unanalyzed
curious	incurious
calcicolous	calcifugous
registered	unregistered
comfortable	uncomfortable
accompanied	unaccompanied
